家族,かぞく,family; members of a family
おばあさん,おばあさん,grandmother
伯母さん,おばさん,aunt; old lady
伯父さん,おじさん,uncle; old man; mister
父,ちち,father
母,はは,mother
お父さん,おとうさん,father; dad; papa; daddy
お母さん,おかあさん,mother; mom; mama; mummy
姉,あね,older sister; elder sister
兄,あに,elder brother; older brother
お姉さん,おねえさん,elder sister; young lady; miss; ma'am
お兄さん,おにいさん,older brother; elder brother; young man; buddy
弟,おとうと,younger brother
妹,いもうと,younger sister
奥さん,おくさん,wife; your wife; his wife
両親,りょうしん,parents; both parents
兄弟,きょうだい,siblings; brothers and sisters; mate
友達,ともだち,friend; companion
人,ひと,person; human
大人,おとな,adult
男,おとこ,man; male
女,おんな,woman; female sex
子供,こども,child
女の子,おんなのこ,girl; daughter; young women
男の子,おとこのこ,boy; male child; baby boy
皆さん,みなさん,everyone
大勢,おおぜい,crowd of people; great number of people
学生,がくせい,student
留学生,りゅうがくせい,overseas student; exchange student
先生,せんせい,teacher; instructor; master
警官,けいかん,policeman; police officer
お巡りさん,おまわりさん,police officer (friendly term for policeman)
医者,いしゃ,(medical) doctor; physician
どなた,どなた,who
一人,ひとり,one person; alone; single
二人,ふたり,two people; pair; couple